"","Date","BlackCarbon","Carbon_Monoxide","Nitric_Oxigen","Nitrogen_Dioxide","Other","Ozone","PM10","PM2.5"
"1",2014-01-05 23:00:00,4.94,1.1319257286871,86.3438831971665,39.2742851921536,3.07963174133545,10.4338224111322,39.8164934048737,35.8670967741935
"2",2014-01-12 23:00:00,7.24,1.26272828476803,137.55270404777,44.4076721647018,3.77145108483947,8.08571103847772,54.1471442097966,42.4873063797265
"3",2014-01-19 23:00:00,4.58571428571429,1.06988729465164,104.035675703535,41.0509886876037,3.1833971849987,8.99455339259178,31.2790407755679,24.8513798400339
"4",2014-01-26 23:00:00,5.5,0.98052115135969,125.21200374903,43.5588245748918,3.61010130728574,16.5414518802217,36.9146364618133,27.7140282432621
"5",2014-02-02 23:00:00,3.64285714285714,0.930767396769735,91.3253459177254,42.9797720829196,3.12539948005357,14.7826261067261,36.1760931460478,29.548441510288
"6",2014-02-09 23:00:00,2.74285714285714,0.835491083787786,70.8026157251731,37.0845132025269,3.14687373089356,19.9210918900308,22.553833609999,18.1354227761486
"7",2014-02-16 23:00:00,3.65714285714286,0.864594281098863,88.1065906312343,43.4845189168684,3.73681631952824,19.3424811621061,32.5276510532186,25.763658285895
"8",2014-02-23 23:00:00,3.17142857142857,0.841576466305092,75.8740385049817,37.9084345164095,3.40432384308806,20.6668220912021,31.1298082759239,24.4990562133945
"9",2014-03-02 23:00:00,2.97857142857143,0.771664606884722,70.9278454004375,38.7080724108971,3.6740539867635,31.7937628765622,31.2269220114384,25.124571822864
"10",2014-03-09 23:00:00,3.65,0.760770867921697,71.334443467077,39.9832430594546,3.79749159283448,35.9135568615038,38.1646091533907,29.3389928698752
"11",2014-03-16 23:00:00,5.66428571428571,0.820248272965293,84.7957654076594,47.624499046341,4.01599224432595,40.7776757874548,68.5893576128399,52.2211941521477
"12",2014-03-23 23:00:00,2.67857142857143,0.65528808598317,46.1170072577683,30.1124773621951,3.18846003912308,50.7133873042473,54.0957794467135,39.5807963581327
"13",2014-03-30 23:00:00,2.54285714285714,0.612642931594593,51.2021540118903,32.8068821195802,3.57854046445696,50.1719887511022,24.2640207838236,18.5525644740655
"14",2014-04-06 23:00:00,2.44285714285714,0.604758254628221,51.4326666830655,32.2674388226565,3.48796996849193,51.1378840442139,40.2728347842634,23.6857811306341
"15",2014-04-13 23:00:00,1.88571428571429,0.562969550699679,42.2913706067859,28.0629709253243,3.55214063705744,63.5088106243489,28.2989600105585,17.6383100527601
"16",2014-04-20 23:00:00,1.62142857142857,0.542943950969114,40.3270167716625,27.5884136126186,3.26265873963014,62.7614687719378,22.3913039911886,15.7663247117029
"17",2014-04-27 23:00:00,1.92142857142857,0.548610354031031,34.4779345532112,23.6716381216091,3.20771094990426,62.2958264506726,19.1617374517375,14.5733749218162
"18",2014-05-04 23:00:00,1.54285714285714,0.509456909021637,33.8733614768254,22.8262051719696,3.35136336285296,55.7568614333179,11.4512612612613,8.57255765942741
"19",2014-05-11 23:00:00,1.66428571428571,0.495233137787888,36.5756756575636,25.896134382586,3.59842581682062,70.6530719672435,21.8313136433949,15.1049594031161
"20",2014-05-18 23:00:00,0.878571428571429,0.418238820321586,28.6026093522626,20.1741906075409,3.12712851444644,80.5507880746658,12.5921578539483,8.43072898615407
"21",2014-05-25 23:00:00,1.37142857142857,0.457011722590209,30.9372151441547,22.6897973862511,3.71604582211273,76.182872858861,23.9023905097806,13.6352973007385
"22",2014-06-01 23:00:00,1.14285714285714,0.43622429045726,29.4093533126429,21.1094037179731,3.37124227880796,72.9218828290182,16.2110289236605,11.2373683564335
"23",2014-06-08 23:00:00,1.83571428571429,0.48024398609087,33.0038051215261,24.4398660288736,3.68097332506139,84.2217791101755,23.9608274566653,17.3837971552257
"24",2014-06-15 23:00:00,1.94285714285714,0.493113243007027,32.5771365713609,25.3982788838838,3.31146313878961,105.582438476698,25.5546169954446,17.104990450692
"25",2014-06-22 23:00:00,1.38571428571429,0.441113284860217,29.7616357773596,21.16167151353,2.81504473165284,80.6754603899935,18.5139343386702,13.1343494468494
"26",2014-06-29 23:00:00,1.59285714285714,0.445674758814019,27.2285435311965,19.4479241832505,3.056790915511,67.5865240809558,19.1183123621981,13.5330208903485
"27",2014-07-06 23:00:00,1.37857142857143,0.449192753257603,29.2070752212665,20.5991791038198,3.20608010992871,66.0899356849992,16.6321680080483,11.0515670453458
"28",2014-07-13 23:00:00,1.29285714285714,0.448947027823926,27.0470917183061,18.8614423688845,3.16471612324881,63.0248990379782,13.8799855763201,9.14131478723088
"29",2014-07-20 23:00:00,2,0.486854438932113,29.2184521873901,22.249610742638,3.43135980860151,87.8478505856447,22.4978063274738,15.5869054135064
"30",2014-07-27 23:00:00,1.52142857142857,0.443325862287104,27.6259607103631,19.3502375109661,3.30673265815133,64.3739439073226,16.0093098297664,10.8001459387174
"31",2014-08-03 23:00:00,1.84285714285714,0.459374910873583,29.1582629135059,19.530669834193,3.09079597679607,60.6916384255517,15.6065843470949,10.729686318972
"32",2014-08-10 23:00:00,1.55714285714286,0.430364183905072,25.2982772594765,17.8747568060065,3.00488908205093,70.8781403843421,17.5972823762452,12.1370669056153
"33",2014-08-17 23:00:00,0.928571428571429,0.379207724147373,19.9827480987402,13.4408097724958,3.05695216425358,55.3077311318315,13.0461631070064,8.206709626132
"34",2014-08-24 23:00:00,1.18571428571429,0.38714943122993,22.5156122086626,15.5505575699661,2.9464891431272,55.8112617641796,14.0490565240181,9.4173579109063
